Date,Amount,Location,Store,Fraudulent
2021-08-08,240.26,North Rachelville,Gonzales-Chen,True
1974-04-10,704.5,West Jillianton,"Odonnell, Jimenez and Graves",True
1996-04-04,28.71,Duanebury,"Wheeler, Duke and Richardson",False
1972-01-04,81.96,Maxwellmouth,Brooks Inc,True
1986-06-24,836.3,North Katelynberg,Lewis PLC,True
1970-08-03,979.46,Crystalview,"Wilson, Manning and Goodwin",True
2001-08-26,886.65,Boothbury,Smith-Howard,False
2009-02-22,661.81,South Haroldmouth,Craig-Fisher,False
2019-06-01,595.3,Lisaport,"Powell, Harris and Tucker",False
1995-01-15,293.18,Aaronbury,Chung Ltd,False
2023-01-06,118.68,Stevenmouth,Jackson-White,False
1995-01-22,431.73,West Royborough,Walker-Lee,False
2022-07-22,987.2,Janeshire,Johnson Ltd,True
1984-07-07,777.42,South Jeremy,Mcguire-Singh,True
2014-12-29,995.04,Seanshire,Brown Group,True
1981-12-24,69.16,Mitchellhaven,Holland Ltd,False
1971-06-12,380.56,East Gabriel,"Davis, Payne and Collins",False
1974-04-23,148.71,Christopherbury,"Barnett, Kelly and Wilson",False
1982-02-09,655.59,Port Crystal,Williams-Thompson,True
1970-01-30,505.54,Wilsonmouth,Kim and Sons,True
2004-11-25,765.79,West Carolynfort,Buckley Ltd,True
2021-12-10,409.87,Mitchellville,Payne-Cooper,False
1977-09-14,505.36,Joneshaven,Arnold-Hubbard,False
1982-10-29,421.44,Jenniferport,"Wolf, Hancock and Carlson",True
1980-12-11,369.49,Port Tiffany,Cox-Pearson,True
2009-07-20,145.94,North Susanside,Brown LLC,False
1976-07-10,538.22,Jenniferchester,"Fritz, Lawrence and Ayala",True
2019-07-17,240.4,East Mason,"Johnson, Howell and Rogers",True
1994-11-10,199.57,Harrisshire,"Hall, Johnson and Johnson",False
2021-10-17,932.41,Davisfort,Murphy-Vasquez,False
1995-03-17,572.71,Josephburgh,Hooper LLC,False
2023-04-20,125.94,Michaelbury,Martinez-Flores,False
2013-08-01,723.74,West Alexis,Matthews-Lee,False
2022-05-26,975.3,Sarahport,Miller-Hill,False
1989-04-06,57.65,Tinaberg,"Boyd, Murillo and Gibson",True
2005-08-15,428.12,North Albert,Rodriguez Ltd,True
2011-09-05,170.82,New Brentbury,"Brady, Castaneda and Wilson",True
1999-07-18,225.84,Andersonchester,Gould PLC,False
1980-03-05,55.63,Port Timothy,"Williams, Khan and Johnson",False
2001-12-23,333.39,Lewisland,Alvarado-Lawson,True
1998-01-03,192.85,Kendramouth,Clay-Dennis,False
1973-10-02,150.52,Denisefort,Scott Group,False
2007-01-20,262.2,South Melinda,Mosley and Sons,False
1991-12-14,482.86,Charlesside,"Hayes, Martin and Rodriguez",True
1974-10-15,353.62,Brianport,Williams-Lopez,False
1992-09-26,929.43,Nicoleview,Fuller LLC,False
2016-12-30,817.1,New Daniel,Garcia-Sparks,True
1980-10-03,740.32,South Zacharyport,"Williams, Smith and Bennett",True
2006-11-20,894.92,Wandaport,Bartlett-Sanchez,True
1975-10-21,737.68,New Oliviaberg,"Murphy, Henson and Sims",True
2011-02-28,109.0,Chungberg,Osborn-Davis,False
1976-07-13,213.73,Robertsburgh,Camacho-Lee,False
1978-05-26,786.32,Kristyburgh,Stevens Group,False
2000-04-09,4.3,Jenniferview,Bonilla-Diaz,True
2014-07-12,791.62,Smithtown,Turner Ltd,False
2001-08-23,258.25,West Mike,Patterson-Payne,True
2004-09-22,394.7,Susanshire,Gutierrez Inc,True
1991-07-24,191.89,Jacksontown,Parker-Clarke,False
2012-08-10,632.74,Lake Jeffrey,"Rice, Lopez and Pittman",True
1998-10-11,536.61,Charleschester,Matthews-Robbins,False
2023-05-27,826.79,Jeffreyview,"Dixon, Burton and Johnson",True
1983-02-19,619.56,Port Tommy,"Gonzales, Lewis and Cummings",False
1974-05-26,664.09,West Saramouth,Dyer Inc,True
1972-06-23,925.39,Navarroside,Burke Inc,True
2024-01-23,138.99,Jennatown,Bowers-Andrade,True
2011-05-01,714.87,Michaelborough,"Potts, Mora and Norman",True
2014-09-09,467.74,Lestermouth,"Perry, Lowery and Middleton",True
1991-07-14,686.92,North Nancyville,Jones PLC,True
1988-09-25,620.18,North Barbara,Wade Ltd,True
2010-07-20,409.84,Olsonview,Clark-Chang,False
1972-05-22,191.77,Port Ericshire,Mathis-Mason,False
1990-07-25,272.44,Dunnborough,Harris Group,True
2007-09-05,287.16,Port Kathybury,"Wolfe, Martin and Wood",False
1979-07-27,690.51,West Danielleburgh,Leon-Murray,False
1982-06-06,16.51,East Brenda,Cannon PLC,True
1988-01-19,110.04,West Michael,"Carter, Martinez and Bell",True
1970-10-04,974.17,Barkerville,Ortiz-Howe,True
2011-09-11,244.93,Singhfurt,Clark LLC,False
2003-04-09,700.82,Riceton,Robertson-Lane,False
1991-07-05,58.91,Jordanton,Welch-Stevens,False
1971-01-16,458.1,Hubermouth,Cummings-Mitchell,True
1974-03-18,982.45,Whiteland,"Wagner, Anderson and Fernandez",False
1995-10-30,328.23,Annahaven,Robles PLC,True
1979-06-11,198.41,North Willieberg,"Scott, Yoder and Burke",False
1978-08-01,153.61,Christinaport,Ferguson-Anderson,True
1976-09-20,901.11,Jamesfort,"Gallagher, Jacobs and Medina",False
2002-12-13,585.96,Laurenberg,Garrison-Perez,False
1986-09-29,29.64,Port Markfort,"Harrington, Johnson and Bishop",False
2003-11-05,447.08,Lake Kristinabury,"Ortiz, Wells and Wade",False
1995-02-06,4.6,Carolynside,Lee-White,False
2009-01-25,842.47,Guerrerofurt,"Ramirez, Conway and Smith",True
1972-05-31,778.16,Michaelport,Barnes-Smith,False
1985-06-01,249.42,Lake Katherine,Taylor-Payne,False
2002-08-16,272.54,Port Ryanberg,"Barnes, Huynh and Morgan",False
2005-08-19,191.24,Odomberg,"Moore, Randall and Hamilton",False
2025-02-17,468.24,Lake Latasha,Davenport-Gaines,False
2015-08-23,128.62,Milestown,"Lopez, Hanson and Hall",False
2006-12-25,465.1,North Briantown,"Munoz, Harris and Miller",False
2001-08-14,39.23,Ashleychester,"Juarez, Stewart and Thomas",True
2006-12-10,793.01,Gabrielleburgh,Banks-Jenkins,False
1993-10-31,47.0,South Jennifermouth,Carroll and Sons,False
1981-08-13,506.78,Leachland,Garcia LLC,False
1995-08-01,509.31,Lake Markmouth,Landry LLC,False
1995-08-21,135.41,Buckleyville,Johnston Ltd,False
2019-10-27,935.24,North Amy,Lynch Ltd,False
2021-07-24,35.75,East Matthewfurt,Powers Group,True
2017-03-27,757.43,Brownfort,"Williams, Miller and Miller",False
1975-02-12,141.06,Penafurt,White-Brooks,True
1974-06-04,375.98,Gregorymouth,"Hutchinson, Garcia and Garcia",False
2010-09-13,119.97,Port Annaville,"Wright, House and Burton",True
1978-10-07,808.49,South Carlosmouth,"Jackson, Collins and Johnson",False
1993-12-08,38.2,West Jacobshire,Duran-Irwin,True
1982-11-23,901.78,North Victorborough,"Lawson, Perez and Ray",True
2013-07-23,180.42,Fernandezhaven,Graham Group,False
2006-07-02,54.17,South Shawnton,Tate Group,True
2025-04-29,174.55,Mossberg,Dyer-Cummings,False
2002-12-07,347.78,Paulmouth,Nolan-Lyons,False
1978-07-01,853.29,Johnsonhaven,Ware-Chen,False
1997-07-21,266.07,Westland,Cook Inc,True
1980-04-08,529.38,East Pamela,Little-Davenport,False
2007-11-05,581.76,South Alexanderfort,Young-Fitzgerald,False
2009-01-10,446.57,South Julie,Burgess-Boyer,True
2001-07-16,787.97,Ellishaven,Mclaughlin and Sons,False
1980-07-23,413.61,Martinton,Davis-Acevedo,False
1991-09-06,455.73,Lisaton,Rivera Group,True
2019-10-27,97.52,Lake Mary,Cook-Wright,True
1999-06-21,922.93,North Corey,Wilson PLC,True
1981-04-07,527.71,Zacharyhaven,Miller-Williams,True
1970-08-07,381.99,Calvinport,"Lynch, Ingram and Aguilar",False
2005-07-25,184.8,South Sharon,"Owen, Martin and Rose",True
1978-10-27,330.81,Adamhaven,Kelley Group,True
1973-08-14,4.42,Lake Sarah,Mcdonald Inc,True
2004-06-27,205.46,New Logan,Davies-Foster,True
1993-07-30,533.12,Montgomerychester,French LLC,True
2002-09-30,451.13,Freyfurt,"Williams, Bennett and Bryant",False
1991-11-21,886.1,West Susan,Gonzalez LLC,True
2010-02-10,793.41,Matthewville,Shepard-Casey,False
1974-03-15,504.02,Port Darleneland,Rodriguez Inc,False
1980-10-12,347.24,North Christopher,Shaw Inc,True
1999-01-09,89.35,North Henryhaven,Brown-Elliott,False
2006-05-11,199.11,North Patriciabury,Jenkins Group,False
2020-01-07,549.18,Joneston,White-Kidd,False
1972-05-17,9.38,Jennifermouth,Brown-Wright,True
1980-06-14,803.45,East Adamton,Spencer-Brooks,True
2018-03-06,956.08,Ayersfort,Maddox PLC,True
1992-05-14,250.83,South Joanna,Schwartz Group,True
2002-04-05,872.7,Port Christophermouth,Nichols-Johnson,True
2019-08-22,524.66,Port Melissa,Fowler PLC,True
1981-03-18,392.69,Snowbury,"Lindsey, Frederick and Bell",True
1973-07-22,208.72,North Johnberg,"Reeves, Ross and Hahn",True
1976-12-30,311.01,Monicabury,Poole Group,False
2022-06-12,738.51,Lake Christine,"Shaw, Le and Gordon",False
2003-04-25,779.31,New Joshuahaven,Mcdonald LLC,True
1995-09-14,226.73,New Waynechester,"Adkins, Mcgrath and Elliott",False
2018-05-11,87.85,Hollyfort,"Hale, Zimmerman and Jones",True
1991-02-24,562.46,Markville,Ray Inc,False
1991-09-30,179.28,Melaniehaven,Davidson PLC,True
2023-11-14,348.32,South Erin,Diaz-Ruiz,False
2016-09-14,672.65,Emilyhaven,Martinez and Sons,False
1981-07-08,959.14,East Jeffreyton,"Daniels, Davenport and Mills",False
2012-09-22,425.11,East Jeanetteberg,"Mcfarland, Byrd and Macias",False
1978-04-05,300.01,New Jasonbury,"Hines, Mercado and Mccarthy",True
1978-02-02,53.3,Byrdchester,Simon Group,False
1998-05-16,506.79,South Tinaside,Kerr-Green,False
2017-11-16,482.36,New Stevenfurt,Payne-Parker,True
2013-03-08,960.65,Floresview,"Bailey, Morris and Daniels",True
2023-12-04,988.84,Thompsonburgh,"Conway, Fernandez and Mcguire",False
2001-03-17,623.74,New Ronaldport,"Hartman, Thomas and Church",True
2014-07-15,439.3,North Manuel,Hunt-Burns,False
1988-09-21,144.43,South Paulmouth,"Mitchell, Lynch and Lloyd",False
1989-08-23,600.5,Lake Scottchester,"Pruitt, Gallegos and Williams",False
1991-08-06,686.42,South Georgefort,Sullivan PLC,True
2001-12-02,699.17,Churchmouth,Arnold-Perry,False
1973-04-09,195.94,East Melissachester,"Holmes, Smith and Washington",False
1971-09-03,363.76,Gainesville,Hodges-Reeves,True
2017-10-18,270.97,Port Travisport,Rodriguez PLC,False
1971-12-12,992.25,Chadberg,Ponce PLC,True
1980-08-27,514.69,Michaelville,"Nelson, Sutton and Larson",False
1993-11-24,745.03,Lake Brittanyfurt,"Burns, Campos and Neal",False
1976-05-15,220.06,Butlerton,Jones-Hammond,False
2006-10-28,366.42,New Ronald,Clark-Torres,False
2022-02-06,718.71,Turnerside,"Friedman, Ryan and Brown",True
1988-12-18,361.85,East Michelleview,Barnes Ltd,False
2023-09-20,602.78,Lake Tami,"Reese, Walker and Jones",False
1981-06-26,681.66,Kathleenmouth,Brown-Smith,False
2005-02-03,77.5,Gloriaton,Aguirre-Harris,False
1989-08-10,462.51,Riverafurt,Best-Arroyo,True
2024-09-06,992.16,North Robertstad,Jones Inc,True
1973-03-23,959.16,Ericaland,Grimes-Barnes,False
1999-09-12,940.97,North Margaretburgh,Hill-Farrell,False
1988-03-23,943.74,Georgeview,Peterson-Garrett,True
1988-09-09,348.77,Brittanybury,Johnson-Craig,True
1994-06-10,658.21,Jeremiahstad,Wells LLC,False
1984-08-29,134.16,South Jeffreystad,Hunt LLC,False
1995-12-23,436.23,Josephberg,"Mckay, Myers and Jones",True
1986-11-19,133.84,North Nathanchester,"Robinson, Johnson and Hensley",False
2020-06-08,585.51,New Matthew,Carpenter and Sons,True
1995-12-17,218.91,New Elizabethview,Prince-Stephens,False
1992-09-18,920.74,East Ericberg,Morrison and Sons,False
2004-03-31,964.7,Lake Christinatown,"Mahoney, Kramer and Khan",False
1998-08-19,195.0,Newtonside,Hughes LLC,True
1971-09-12,199.89,East Valerie,"Smith, Flores and Davis",True
2004-09-28,952.13,East Tracy,Johnson Inc,False
2016-10-10,637.28,Curtisland,Bryan-Ryan,False
1975-05-16,12.08,Danieltown,Richardson-Hernandez,True
1987-01-30,691.51,Angelashire,"Poole, Rodriguez and Collins",True
2010-10-06,198.22,Port Mary,"Peterson, Anderson and Johnston",False
1992-12-08,130.05,West Ashleyfurt,Davis-Rowland,False
2018-01-17,830.58,North Christinafurt,Berg PLC,False
1997-12-18,615.07,New Maryton,Elliott Ltd,False
2007-11-19,508.31,East Jasonview,"Ball, May and Jackson",True
1997-08-09,697.57,Port Melaniemouth,"Allen, Martin and Drake",True
2021-08-09,592.78,East Scottland,Spencer-Jackson,True
1995-09-27,193.56,Lovefurt,Kerr Inc,True
2006-12-14,656.36,Kristinahaven,Weaver-Johnston,False
1983-01-23,992.93,New Jenniferfort,Gordon-Nichols,False
1975-07-10,498.46,East Carol,Mcdonald-Miller,False
2021-12-04,433.88,Danieltown,Cook Inc,True
1984-06-08,487.8,Jamesmouth,Brady-Mcfarland,False
1981-02-07,110.23,West Jasonland,Weiss LLC,False
2008-07-13,20.03,Taylorburgh,Ingram-Bright,True
2000-12-17,100.89,North Danielhaven,"Duncan, Sullivan and Alvarez",False
2010-08-08,326.73,South Gavin,"Todd, Calhoun and Chapman",False
2016-03-25,738.55,Justinfort,"Rodriguez, Johnson and Gordon",True
2004-03-23,849.87,Timothychester,Hicks and Sons,False
2013-01-25,833.21,Jasonfurt,Hill-Wright,True
2016-02-12,583.29,Johnsonhaven,"Lewis, Olson and Perez",True
1994-06-20,176.65,Michaelton,Bentley and Sons,False
1974-08-10,151.83,South Jeromeville,"Blanchard, Patel and Villanueva",True
2004-05-07,749.46,South Ryanmouth,"Owens, White and Coleman",False
2012-07-04,470.46,New Chadberg,Lambert-Nguyen,True
1979-01-10,82.49,Catherinehaven,Smith-Greene,False
2012-10-09,47.63,Gonzalezchester,"Blevins, Byrd and Gregory",False
1976-04-24,360.49,North Gwendolynshire,Kim-Ballard,True
1994-05-12,39.17,Johnsonville,"Delgado, Fuller and Adams",False
2000-06-08,23.63,West Beckyshire,Maldonado-Ballard,True
2009-03-16,916.22,Robertsonborough,Butler-Carpenter,False
2022-06-14,671.06,Sherriburgh,"Garcia, Wallace and Green",True
2009-06-16,428.07,Ramirezton,Anderson-Fitzgerald,False
1981-09-22,440.95,East Carlosport,Woods and Sons,True
1980-10-22,485.51,New Kristin,Wallace Group,True
1996-08-19,151.71,North Spencer,Bryant-Gallegos,True
1991-12-12,369.34,West Angelaview,King Group,False
1991-05-03,127.89,Lake Norma,Branch and Sons,True
1972-06-26,108.44,Lake Stephanie,Warner Inc,True
2000-04-19,980.67,North Monicaland,Vasquez and Sons,True
2002-07-19,75.76,West Sandrafurt,"West, Nash and Todd",False
1989-12-12,684.94,Juanshire,Perez-Burke,True
2006-04-05,302.26,Alexanderburgh,"Myers, Charles and Collins",False
2020-07-03,970.93,New Luischester,Jackson-Harmon,False
2024-11-24,112.7,Port Devonton,Smith Ltd,True
2004-06-08,715.67,Perezside,Hardy-Sandoval,True
1981-10-26,778.39,Patriciaborough,Price Group,False
2000-04-25,827.07,North Chelsealand,Walker Ltd,False
2001-01-01,997.22,South Joanneview,Moreno Ltd,True
1990-04-07,282.2,West Elizabeth,Monroe Inc,False
1983-06-20,56.65,Guerreroberg,"Bennett, Smith and Keller",False
2009-01-09,14.73,Vanessaburgh,Lewis-Cox,True
1987-03-14,985.12,North Joy,Baker and Sons,True
2020-10-14,116.11,West Wesleyport,"Ray, Craig and Shelton",True
1974-11-12,24.84,Holmesville,"Hudson, Brown and Williams",True
1985-04-15,337.7,New Ronaldport,Walls-Smith,True
2021-05-31,258.83,Williamsburgh,Smith-Harris,True
2022-06-09,894.98,Port Racheltown,"Torres, Martin and Campbell",False
1971-01-09,553.49,Davisport,Reynolds-Harris,False
2008-04-19,749.83,Claytonville,"Rasmussen, Nguyen and Taylor",True
2018-02-22,275.61,Lake Frankchester,"Sanchez, Green and Johnson",False
1989-05-18,440.42,Estesport,Tucker and Sons,False
1982-08-07,37.05,West Donald,Hardin Group,True
1995-03-01,178.42,Port Amanda,Johnston-Mcdonald,True
1986-08-27,376.57,Rosemouth,Foley-Davis,True
1975-11-27,857.63,Williamsonhaven,Rodriguez and Sons,True
2020-12-13,816.73,South Matthew,Moss-Jacobs,False
1978-03-24,869.19,Normanland,Jordan Ltd,False
1993-02-11,167.03,South Troy,Huynh Group,True
2018-06-15,552.09,Kristenshire,"Jenkins, Cochran and Harrington",False
1979-12-18,15.38,Lake Annette,"Cook, Parks and Montgomery",True
1976-03-15,747.0,Dustinton,"Kane, Campbell and Ramirez",False
2001-08-24,220.08,Port Amandachester,"Nelson, Washington and Watson",False
2023-02-10,114.71,New Brian,Figueroa Inc,True
1991-05-14,221.13,Villarrealborough,"Stevens, Franklin and Kemp",True
2000-04-11,558.79,Port Pamela,Bruce Inc,True
2024-02-21,233.09,New Marthatown,Wilson and Sons,True
1996-07-17,844.42,Port Deborah,"Roth, Gonzalez and Maddox",True
1996-03-29,53.38,Cynthiamouth,Casey-Knight,False
2020-09-27,235.97,Lisafort,Curtis-Harrison,False
2008-05-28,906.89,New Jennifermouth,Avery Ltd,False
2013-07-09,101.95,Anthonyview,Anderson-Henderson,False
2016-03-17,478.9,Russellchester,Fritz and Sons,False
2016-02-07,101.89,Port Michelleberg,Parker-Malone,True
1989-03-05,577.98,Port Allison,Coleman Inc,True
2024-07-31,42.07,Aprilberg,"Turner, Knight and Green",False
2004-05-26,606.11,West David,"Rhodes, Caldwell and Cervantes",False
2008-07-17,393.79,Lake Christophermouth,"Goodwin, Santana and Nguyen",False
2015-03-06,430.96,Port Ashley,Meyer-Perez,True
1988-11-02,686.16,Lesterton,Escobar-Thomas,True
2008-09-27,721.81,Port Emilyville,Edwards-Bush,True
1997-01-18,780.5,Catherinefort,"Torres, Butler and Robinson",False
2007-05-13,777.53,Port Andreafurt,Davis-Browning,True
2000-05-06,325.42,Benjaminport,"Wade, Scott and Moore",False
2006-04-01,80.02,West Allison,Cole-Wang,True
1996-01-17,591.83,Lewisfurt,"Mccarthy, Castillo and Kerr",True
2012-12-27,892.87,West Brittanyside,Walker Group,True
2011-04-25,685.18,New Steven,Savage-Carr,True
1985-11-19,84.32,West Kristin,Le Inc,False
1980-09-09,540.38,Bryceton,Dixon-Wright,True
1999-07-05,162.79,South Darylfurt,Quinn PLC,False
2021-01-28,51.3,Rebeccaburgh,Bailey-Dean,False
2002-05-17,929.66,Gabrielleshire,Black Ltd,True
1982-01-29,394.0,East Caitlin,Hunter PLC,True
1995-10-03,36.03,Garciatown,Smith-Sparks,False
1993-01-29,953.0,North Pamela,"Stokes, Bullock and Torres",False
1971-06-22,435.67,Justinfurt,"Gallegos, Simpson and Charles",False
2005-10-12,938.68,Sandraberg,Howell Inc,False
2013-05-27,77.18,Escobarmouth,Sanders Group,True
2018-06-13,846.81,East Tyler,Watson Inc,False
2021-05-30,354.56,Kimberlytown,"Ryan, Richardson and Alvarado",True
2004-12-04,906.37,Nicholeland,Madden Ltd,True
2010-04-20,766.75,Justinfort,Kirby-Morris,False
1977-08-08,448.5,Port Nicolestad,"Johnson, Foster and Sanchez",False
1991-10-27,574.84,Evanstown,"Barnes, Campos and Baxter",False
2011-11-01,257.97,Jocelynport,"Stark, Powers and Benson",False
1987-08-30,540.63,Wrighthaven,Patterson-Moore,False
1988-10-04,649.21,East Joshuaside,Hill-Peterson,True
2010-08-06,361.41,New Sandra,"Shields, Roman and Farley",True
1983-04-12,551.78,Lisatown,Riley LLC,True
2003-10-04,919.41,Hansonborough,Cooper and Sons,True
1976-11-17,758.44,East Cindy,Wallace Inc,True
1982-11-16,772.51,South Paul,Thomas-Fernandez,True
1982-03-07,10.63,Lake Jenniferport,Edwards and Sons,False
1980-10-17,37.85,Timothyfort,Harrington-Diaz,False
2024-04-22,279.33,Taylorhaven,"Mueller, Christensen and Hernandez",False
2001-04-13,275.0,Thomasland,Mcmillan-Greene,False
2018-01-10,584.5,Williamsstad,"Moore, Welch and Nguyen",True
1971-03-07,148.38,Murrayberg,"Clark, Brown and Smith",False
1976-07-20,481.77,Ashleyborough,Morgan-Burke,True
2018-10-04,121.01,Calebburgh,White Inc,True
2015-11-18,593.1,East Angela,Mendez-Cabrera,True
1996-05-16,311.03,Port Timothychester,"Watson, Cooper and Brown",False
1999-07-23,266.51,East Andrewville,Keith Ltd,False
2023-11-30,389.47,Dicksonview,"Gonzales, Zavala and Barnett",True
1989-11-22,788.08,Robbinsbury,"Lopez, Taylor and Flynn",False
1974-06-08,224.23,Kevinland,Morrison-Foster,False
2002-10-16,699.92,Chasetown,Lopez LLC,False
1992-09-04,548.54,Annetown,Melton and Sons,False
2012-11-20,146.43,Joshuahaven,"Davis, Adams and Smith",True
2006-01-25,585.73,Lake Bradberg,Brown Group,True
1985-01-10,640.06,West Jeffreyhaven,Berry and Sons,False
2003-04-05,284.29,Cookton,"Caldwell, Quinn and Vance",True
2022-07-23,310.04,New Nancystad,Hall-Forbes,False
2008-08-21,147.03,Turnerside,Bowman PLC,False
2013-03-01,573.02,West Erinborough,Smith-Mason,True
2002-08-04,712.07,Mckenzieview,"Moore, Carter and Wright",False
1970-02-12,976.31,Allenton,Bennett Group,False
1996-06-14,217.45,Port Michaelshire,Gould-Rodriguez,False
2012-07-29,133.01,Hintonborough,Thompson-Crane,False
1998-02-01,887.27,Lake Mark,Brown-Dorsey,True
1990-05-01,204.91,Hicksside,"Abbott, Davis and Morrison",False
1981-12-31,663.7,Port Michael,Shelton Inc,False
1981-01-19,765.08,Lake Jasonmouth,"Mueller, Hall and Torres",True
1992-07-02,260.92,Browningbury,"Watson, Ingram and Henderson",False
2006-07-19,339.78,Lake Jamesview,"Allen, Chen and Caldwell",False
2012-08-26,160.13,Michellemouth,"Hernandez, Porter and Huynh",True
1994-11-02,39.21,Port Patriciahaven,Evans and Sons,False
2001-02-13,855.66,South Sheri,"Clark, Jordan and Cox",True
1976-11-06,741.26,Ortegaland,Collins-Perez,True
1981-06-03,970.37,Arellanoport,"West, Jordan and Martinez",False
2025-01-15,165.53,New Antonio,Young-Edwards,True
2004-07-30,65.86,Loganmouth,Stone Inc,True
1998-09-22,807.39,Allisonton,Garcia-Burns,True
2013-06-04,573.44,Lopeztown,"Camacho, Johnson and Powers",False
1992-07-12,533.43,Lisaborough,"Wagner, Landry and Daniel",True
2022-10-12,623.96,Rebeccabury,Mendoza Ltd,False
2007-05-15,140.76,South Amyside,Medina-Owens,True
2014-08-22,470.58,Ballardmouth,"Wood, Wright and Dunn",False
1989-10-12,4.13,Villarrealport,Jackson-Oliver,True
2005-05-25,256.15,New Jeremystad,"Lopez, Lopez and Gallegos",True
2005-06-04,114.1,North Larry,Mclaughlin-Lyons,True
2008-09-23,75.9,Ericfurt,"Perry, Todd and Miller",False
1972-03-05,912.29,Johnsonport,"Duncan, Hall and Morrison",False
2012-01-16,22.32,Christon,Huffman-Hayes,True
2000-08-08,338.57,Rogerschester,Tate-Morrow,False
2009-06-17,249.45,Patriciaside,Smith LLC,True
1993-06-06,401.12,Lawrenceshire,Edwards-Hammond,True
1981-07-01,656.68,West Derrick,"Armstrong, Ibarra and Cooper",True
2000-04-01,603.12,Medinahaven,Allen-Morris,True
2012-01-05,634.73,Port Leonardfort,Copeland and Sons,True
2001-05-05,75.06,Shannonfort,"Gutierrez, Weeks and Robinson",True
2008-03-08,7.14,Ginastad,"Winters, Johnson and Fisher",True
1988-09-16,955.6,East Robertbury,"Fritz, Rodriguez and Livingston",True
2006-08-22,89.75,Benjaminton,Gonzales and Sons,True
2024-07-21,119.97,Port David,Vaughan Group,True
2002-07-17,594.26,Johnborough,White-Holmes,True
1995-08-27,731.31,North Samantha,Miles LLC,True
1974-06-25,683.96,Dominguezton,Marshall-Jones,True
1989-08-30,361.41,Sanchezmouth,Greene Ltd,False
2004-06-06,214.99,Williamsberg,Schroeder PLC,True
1996-05-01,706.45,Charleshaven,Vasquez LLC,True
1972-08-07,68.46,Amberville,"Hanson, Tran and Wilson",False
1981-12-10,346.07,Evansview,Morgan-Chung,False
1972-02-02,811.49,Ericfurt,Clarke Ltd,False
2024-01-17,555.84,New Vincentville,Moreno Inc,True
2016-05-09,234.77,East Christopher,Smith Inc,True
1974-12-19,473.37,New Debra,Anderson-Calhoun,False
2003-11-01,570.95,Jesseview,"Boyle, Petersen and White",False
2014-03-22,440.29,Wilsonchester,"Moore, Morales and Nelson",False
1970-05-15,949.9,North Erin,"Barrett, Little and Brown",False
2007-03-18,600.44,East Christy,"Murphy, Baker and Wright",False
1996-10-22,405.58,South Paulchester,Miller Ltd,True
1995-09-28,597.11,New Jessicafort,Hammond LLC,False
1997-05-07,350.1,New Summer,Mendoza Group,False
2013-01-31,84.79,Port Joshuaville,Morse Group,True
2013-06-19,544.07,New William,Armstrong-Brooks,True
1970-09-26,729.05,North Douglas,"Richard, Kelly and Gilmore",False
2023-08-24,920.1,Cooperland,King-Smith,True
1979-11-24,148.05,Port Markville,Johnson Inc,False
2014-06-30,137.86,North Courtney,"Hardin, Stanley and Armstrong",True
2016-03-08,452.06,Benjaminbury,"Rasmussen, Santiago and Green",False
1982-02-02,197.06,Dannyhaven,"Jones, Montgomery and Cunningham",False
1994-03-02,77.28,North Susanshire,"Hall, Ferguson and Thomas",True
2006-09-14,176.92,Port Patricia,"Adams, Gutierrez and Jones",True
1974-02-16,211.4,Wandastad,Gonzalez-Snyder,True
1982-12-05,268.14,Codyport,Carey LLC,False
1999-02-18,523.11,Snyderland,"Carrillo, Harmon and King",False
2006-05-28,477.3,Jamesview,"Carter, Hobbs and Russell",False
2007-05-08,754.64,Port Ericberg,"Haney, Kelly and Smith",False
1992-08-11,502.35,New Mary,"Padilla, Pham and Perez",True
1980-10-16,25.18,Port Holly,Carpenter-Charles,False
1985-01-13,967.23,Nicoleburgh,"Taylor, Rodriguez and Gray",True
2008-11-15,647.11,Jenniferberg,Thompson-Allen,True
1990-06-14,158.68,New Stephen,"Wilson, Sanchez and Glass",False
2006-01-01,461.16,Theresafort,"Andrews, Alvarez and Clark",True
1995-04-19,945.12,North Frederick,Henson-Walker,False
2007-11-27,861.64,Brooksmouth,Moyer PLC,True
1974-04-18,591.4,Lake Jeffreytown,Patterson Group,False
1986-11-20,894.38,Lake Tracybury,Ruiz Group,True
1980-10-14,688.43,East Ronaldburgh,"Pennington, Adams and Page",False
2021-03-08,906.46,Tylerchester,Esparza-Cook,False
2006-11-02,175.9,Haileymouth,Kelly Ltd,False
1971-12-09,434.64,Russellville,"Harris, Norton and Owens",False
1992-11-08,973.05,Lake Elijahfort,Vaughn Ltd,True
2013-03-28,570.83,Adkinsstad,"Parker, Graves and Ho",True
1999-08-12,886.78,South Elizabeth,Booker PLC,True
2024-07-12,574.1,Taylormouth,Vargas-Ross,True
1991-03-08,455.46,Brendaside,Bryant-Dunn,False
1995-02-01,602.09,Christianburgh,"Martin, Jones and Cunningham",True
1972-10-26,654.39,Port Carol,Garcia-Carpenter,True
2016-11-20,175.6,Lake Ashleyhaven,"Gates, Phillips and Mcmahon",False
2007-10-07,198.16,Jamesstad,Arnold Inc,True
2011-10-03,388.26,Smithburgh,Roberts and Sons,True
2001-04-20,2.16,Lindaborough,"Brown, Moran and Simmons",True
1984-12-16,798.73,Michaelhaven,"Rose, Douglas and Stokes",False
